run,repetition,combo_idx,seed,p_depol,cutoff_active,n_mem,delivered_AC,delivered_BD,delivered_total,meanF_AC,meanF_BD,meanF_total,attempts
1.0,1.0,1.0,1.0,0.02,0.0,5.0,248.0,206.0,454.0,0.7693359966402303,0.7646173014486194,0.7669766490444249,1.0
2.0,1.0,2.0,1.0,0.02,1.0,5.0,63.0,43.0,106.0,0.8957685280152232,0.8896403260893229,0.892704427052273,1.0
3.0,1.0,3.0,1.0,0.05,0.0,5.0,221.0,234.0,455.0,0.7206475559504035,0.7239299717818938,0.7222887638661486,1.0
4.0,1.0,4.0,1.0,0.05,1.0,5.0,59.0,41.0,100.0,0.8458778635216201,0.8444219510264211,0.8451499072740206,1.0
5.0,1.0,5.0,1.0,0.1,0.0,5.0,211.0,241.0,452.0,0.6513440500192709,0.6602691296818951,0.6558065898505829,1.0
6.0,1.0,6.0,1.0,0.1,1.0,5.0,47.0,49.0,96.0,0.7536272623694809,0.7520339146804476,0.7528305885249642,1.0
7.0,1.0,7.0,1.0,0.02,0.0,10.0,243.0,212.0,455.0,0.7040111490716332,0.6945229648356726,0.6992670569536529,1.0
8.0,1.0,8.0,1.0,0.02,0.0,20.0,237.0,218.0,455.0,0.6412635073034705,0.6354604797746675,0.638361993539069,1.0
9.0,2.0,1.0,2.0,0.02,0.0,5.0,241.0,248.0,489.0,0.7749722037115082,0.7806563991236279,0.777814301417568,1.0
10.0,2.0,2.0,2.0,0.02,1.0,5.0,30.0,51.0,81.0,0.9035278239836141,0.8967381168945507,0.9001329704390824,3.0
11.0,2.0,3.0,2.0,0.05,0.0,5.0,254.0,235.0,489.0,0.7294459596427126,0.7371410203391658,0.7332934899909392,1.0
12.0,2.0,4.0,2.0,0.05,1.0,5.0,51.0,55.0,106.0,0.850764140859628,0.8402044461828675,0.8454842935212478,1.0
13.0,2.0,5.0,2.0,0.1,0.0,5.0,241.0,248.0,489.0,0.6596666715973121,0.6664692778422598,0.663067974719786,1.0
14.0,2.0,6.0,2.0,0.1,1.0,5.0,43.0,38.0,81.0,0.7579464550945711,0.7600513213362169,0.758998888215394,1.0
15.0,2.0,7.0,2.0,0.02,0.0,10.0,248.0,241.0,489.0,0.718528271291983,0.7144103437722228,0.7164693075321029,1.0
16.0,2.0,8.0,2.0,0.02,0.0,20.0,239.0,250.0,489.0,0.6383381417195739,0.6392927200075925,0.6388154308635832,1.0
17.0,3.0,1.0,3.0,0.02,0.0,5.0,237.0,228.0,465.0,0.7817047393061225,0.7735648930219059,0.7776348161640142,1.0
18.0,3.0,2.0,3.0,0.02,1.0,5.0,55.0,51.0,106.0,0.9058327941873172,0.904267524875931,0.905050159531624,1.0
19.0,3.0,3.0,3.0,0.05,0.0,5.0,226.0,238.0,464.0,0.7321893122087705,0.7318243186457323,0.7320068154272514,1.0
20.0,3.0,4.0,3.0,0.05,1.0,5.0,56.0,66.0,122.0,0.847833929692685,0.8376756463124456,0.8427547880025653,1.0
21.0,3.0,5.0,3.0,0.1,0.0,5.0,238.0,226.0,464.0,0.6629781710516199,0.6571992244176358,0.6600886977346279,1.0
22.0,3.0,6.0,3.0,0.1,1.0,5.0,54.0,52.0,106.0,0.7583202738154198,0.7573047588486231,0.7578125163320215,1.0
23.0,3.0,7.0,3.0,0.02,0.0,10.0,250.0,214.0,464.0,0.7086373930415054,0.7119149107637377,0.7102761519026215,1.0
24.0,3.0,8.0,3.0,0.02,0.0,20.0,227.0,235.0,462.0,0.6362213074243545,0.6387978175381624,0.6375095624812585,1.0
25.0,4.0,1.0,4.0,0.02,0.0,5.0,234.0,239.0,473.0,0.7807289863847752,0.7760647071517187,0.7783968467682469,1.0
26.0,4.0,2.0,4.0,0.02,1.0,5.0,65.0,58.0,123.0,0.8977859051401067,0.8976943135933563,0.8977401093667314,3.0
27.0,4.0,3.0,4.0,0.05,0.0,5.0,227.0,245.0,472.0,0.7340723165528482,0.736686031003249,0.7353791737780486,1.0
28.0,4.0,4.0,4.0,0.05,1.0,5.0,70.0,64.0,134.0,0.8417725382883032,0.8408677807160121,0.8413201595021577,1.0
29.0,4.0,5.0,4.0,0.1,0.0,5.0,225.0,239.0,464.0,0.6606380996442913,0.653101060161792,0.6568695799030417,1.0
30.0,4.0,6.0,4.0,0.1,1.0,5.0,51.0,56.0,107.0,0.7553391580786575,0.7563819707107943,0.7558605643947258,1.0
31.0,4.0,7.0,4.0,0.02,0.0,10.0,242.0,231.0,473.0,0.7105508178376971,0.7199424136935768,0.715246615765637,1.0
32.0,4.0,8.0,4.0,0.02,0.0,20.0,246.0,226.0,472.0,0.6459752014044645,0.6480772365147921,0.6470262189596283,1.0
33.0,5.0,1.0,5.0,0.02,0.0,5.0,220.0,229.0,449.0,0.7765688040470651,0.7758590971291345,0.7762139505880998,1.0
34.0,5.0,2.0,5.0,0.02,1.0,5.0,52.0,50.0,102.0,0.8934325871356286,0.8997179984551598,0.8965752927953942,2.0
35.0,5.0,3.0,5.0,0.05,0.0,5.0,218.0,231.0,449.0,0.7252575023643952,0.7322340762817223,0.7287457893230588,1.0
36.0,5.0,4.0,5.0,0.05,1.0,5.0,62.0,71.0,133.0,0.8491965372513965,0.8388018929838184,0.8439992151176074,1.0
37.0,5.0,5.0,5.0,0.1,0.0,5.0,214.0,235.0,449.0,0.656565916092981,0.6617118604812956,0.6591388882871383,1.0
38.0,5.0,6.0,5.0,0.1,1.0,5.0,66.0,69.0,135.0,0.7535470941785235,0.7500078961536084,0.751777495166066,1.0
39.0,5.0,7.0,5.0,0.02,0.0,10.0,229.0,220.0,449.0,0.7062115502899706,0.7014278702047176,0.7038197102473441,1.0
40.0,5.0,8.0,5.0,0.02,0.0,20.0,217.0,232.0,449.0,0.6327215572919931,0.6382240696091859,0.6354728134505895,1.0
41.0,6.0,1.0,6.0,0.02,0.0,5.0,195.0,221.0,416.0,0.7682089320454731,0.7618117725110102,0.7650103522782417,1.0
42.0,6.0,2.0,6.0,0.02,1.0,5.0,64.0,68.0,132.0,0.8952881751692968,0.8975222436366234,0.8964052094029601,2.0
43.0,6.0,3.0,6.0,0.05,0.0,5.0,196.0,222.0,418.0,0.7119710893346021,0.7145110921384417,0.7132410907365219,1.0
44.0,6.0,4.0,6.0,0.05,1.0,5.0,46.0,49.0,95.0,0.8504735316406304,0.8431014635968408,0.8467874976187356,1.0
45.0,6.0,5.0,6.0,0.1,0.0,5.0,186.0,232.0,418.0,0.6452465588802857,0.6538450394231966,0.6495457991517412,1.0
46.0,6.0,6.0,6.0,0.1,1.0,5.0,76.0,53.0,129.0,0.7537859425562949,0.7518015550983793,0.7527937488273371,1.0
47.0,6.0,7.0,6.0,0.02,0.0,10.0,225.0,192.0,417.0,0.6871204171249609,0.6932430508440807,0.6901817339845208,1.0
48.0,6.0,8.0,6.0,0.02,0.0,20.0,223.0,195.0,418.0,0.6226637049885069,0.6303081678954973,0.6264859364420021,1.0
49.0,7.0,1.0,7.0,0.02,0.0,5.0,245.0,241.0,486.0,0.7912839896674633,0.783727964183996,0.7875059769257297,1.0
50.0,7.0,2.0,7.0,0.02,1.0,5.0,51.0,55.0,106.0,0.9024973846894747,0.8998329448390805,0.9011651647642775,1.0
51.0,7.0,3.0,7.0,0.05,0.0,5.0,240.0,247.0,487.0,0.7400151443777473,0.7442370385670593,0.7421260914724033,1.0
52.0,7.0,4.0,7.0,0.05,1.0,5.0,42.0,46.0,88.0,0.8485301220945751,0.8440855123128728,0.8463078172037239,1.0
53.0,7.0,5.0,7.0,0.1,0.0,5.0,242.0,244.0,486.0,0.6633547239409902,0.6632788085871252,0.6633167662640577,1.0
54.0,7.0,6.0,7.0,0.1,1.0,5.0,54.0,47.0,101.0,0.7526535249778982,0.7552619772276272,0.7539577511027626,1.0
55.0,7.0,7.0,7.0,0.02,0.0,10.0,248.0,237.0,485.0,0.7126091998643159,0.7106357563480653,0.7116224781061906,1.0
56.0,7.0,8.0,7.0,0.02,0.0,20.0,236.0,250.0,486.0,0.6516947625719348,0.6397109418147504,0.6457028521933426,1.0
57.0,8.0,1.0,8.0,0.02,0.0,5.0,262.0,220.0,482.0,0.7820389905174127,0.7775516324778837,0.7797953114976481,1.0
58.0,8.0,2.0,8.0,0.02,1.0,5.0,67.0,67.0,134.0,0.9079369080917266,0.9045030221320385,0.9062199651118825,1.0
59.0,8.0,3.0,8.0,0.05,0.0,5.0,237.0,240.0,477.0,0.7356925276101486,0.7266159531549935,0.731154240382571,1.0
60.0,8.0,4.0,8.0,0.05,1.0,5.0,41.0,37.0,78.0,0.8491533580588912,0.8446959223388102,0.8469246401988507,1.0
61.0,8.0,5.0,8.0,0.1,0.0,5.0,249.0,227.0,476.0,0.6663008515677247,0.6491288474055392,0.657714849486632,1.0
62.0,8.0,6.0,8.0,0.1,1.0,5.0,56.0,53.0,109.0,0.7533273819495544,0.7525056230446993,0.7529165024971268,1.0
63.0,8.0,7.0,8.0,0.02,0.0,10.0,258.0,225.0,483.0,0.7253934855021571,0.7009718247986708,0.7131826551504139,1.0
64.0,8.0,8.0,8.0,0.02,0.0,20.0,251.0,231.0,482.0,0.6538400950210315,0.6399196265775665,0.6468798607992989,1.0
65.0,9.0,1.0,9.0,0.02,0.0,5.0,229.0,236.0,465.0,0.7738742871659149,0.7729869074490275,0.7734305973074712,1.0
66.0,9.0,2.0,9.0,0.02,1.0,5.0,41.0,43.0,84.0,0.9041160391787247,0.8981916214230672,0.9011538303008959,1.0
67.0,9.0,3.0,9.0,0.05,0.0,5.0,243.0,222.0,465.0,0.7365225630476576,0.7302106700577534,0.7333666165527055,1.0
68.0,9.0,4.0,9.0,0.05,1.0,5.0,62.0,50.0,112.0,0.8432566622351743,0.8513613353287498,0.847308998781962,1.0
69.0,9.0,5.0,9.0,0.1,0.0,5.0,237.0,228.0,465.0,0.6631710283545845,0.6567523882165318,0.6599617082855582,1.0
70.0,9.0,6.0,9.0,0.1,1.0,5.0,64.0,63.0,127.0,0.7531897637280691,0.7481215740066757,0.7506556688673724,1.0
71.0,9.0,7.0,9.0,0.02,0.0,10.0,246.0,221.0,467.0,0.7024269686176626,0.7064659456614762,0.7044464571395694,1.0
72.0,9.0,8.0,9.0,0.02,0.0,20.0,225.0,242.0,467.0,0.6358413374803791,0.6529674856313096,0.6444044115558443,1.0
73.0,10.0,1.0,10.0,0.02,0.0,5.0,245.0,213.0,458.0,0.7772846585242664,0.7745003182766368,0.7758924884004517,1.0
74.0,10.0,2.0,10.0,0.02,1.0,5.0,45.0,43.0,88.0,0.8956708553503319,0.9086896811640865,0.9021802682572092,1.0
75.0,10.0,3.0,10.0,0.05,0.0,5.0,231.0,226.0,457.0,0.7321065479331046,0.7308555647390991,0.7314810563361018,1.0
76.0,10.0,4.0,10.0,0.05,1.0,5.0,49.0,57.0,106.0,0.8328691330538011,0.8359409062091492,0.8344050196314752,2.0
77.0,10.0,5.0,10.0,0.1,0.0,5.0,245.0,213.0,458.0,0.6603829872038859,0.6568287862915917,0.6586058867477388,1.0
78.0,10.0,6.0,10.0,0.1,1.0,5.0,37.0,39.0,76.0,0.748775415253387,0.7535617533558929,0.75116858430464,1.0
79.0,10.0,7.0,10.0,0.02,0.0,10.0,241.0,217.0,458.0,0.7148469933502584,0.7029956121931321,0.7089213027716952,1.0
80.0,10.0,8.0,10.0,0.02,0.0,20.0,227.0,230.0,457.0,0.63040112842351,0.6252215368693816,0.6278113326464458,1.0
81.0,11.0,1.0,11.0,0.02,0.0,5.0,225.0,232.0,457.0,0.7730264167018492,0.7750358152584007,0.774031115980125,1.0
82.0,11.0,2.0,11.0,0.02,1.0,5.0,50.0,51.0,101.0,0.9081485605571038,0.9025894838526705,0.9053690222048871,1.0
83.0,11.0,3.0,11.0,0.05,0.0,5.0,58.0,66.0,124.0,0.7085583502076275,0.7312205436286289,0.7198894469181282,1.0
84.0,11.0,4.0,11.0,0.05,1.0,5.0,46.0,66.0,112.0,0.8516065749007882,0.8376571565388315,0.8446318657198099,1.0
85.0,11.0,5.0,11.0,0.1,0.0,5.0,107.0,114.0,221.0,0.6465254433372409,0.6547665434506882,0.6506459933939646,1.0
86.0,11.0,6.0,11.0,0.1,1.0,5.0,55.0,40.0,95.0,0.7534013940084913,0.759835525702795,0.7566184598556431,2.0
87.0,11.0,7.0,11.0,0.02,0.0,10.0,218.0,240.0,458.0,0.691008130717749,0.7100732270296571,0.7005406788737031,1.0
88.0,11.0,8.0,11.0,0.02,0.0,20.0,241.0,217.0,458.0,0.6421094180822529,0.6443882648171076,0.6432488414496802,1.0
89.0,12.0,1.0,12.0,0.02,0.0,5.0,225.0,233.0,458.0,0.7674148570747104,0.7794679771222326,0.7734414170984715,1.0
90.0,12.0,2.0,12.0,0.02,1.0,5.0,47.0,56.0,103.0,0.8850926759154288,0.8960185259056408,0.8905556009105349,1.0
91.0,12.0,3.0,12.0,0.05,0.0,5.0,222.0,237.0,459.0,0.7167179817016005,0.7362655424507578,0.7264917620761792,1.0
92.0,12.0,4.0,12.0,0.05,1.0,5.0,43.0,47.0,90.0,0.8445150496762354,0.832031888092801,0.8382734688845181,1.0
93.0,12.0,5.0,12.0,0.1,0.0,5.0,215.0,243.0,458.0,0.6537323662973707,0.6610140150903356,0.6573731906938531,1.0
94.0,12.0,6.0,12.0,0.1,1.0,5.0,50.0,48.0,98.0,0.748871119422263,0.7583208130001253,0.7535959662111942,1.0
95.0,12.0,7.0,12.0,0.02,0.0,10.0,223.0,238.0,461.0,0.7144009589762318,0.7129311419887514,0.7136660504824917,1.0
96.0,12.0,8.0,12.0,0.02,0.0,20.0,223.0,238.0,461.0,0.6356047173076195,0.6344008578760432,0.6350027875918314,1.0
97.0,13.0,1.0,13.0,0.02,0.0,5.0,257.0,248.0,505.0,0.7956781453664403,0.7896581319341869,0.7926681386503136,1.0
98.0,13.0,2.0,13.0,0.02,1.0,5.0,45.0,41.0,86.0,0.9090582998492773,0.9051379549323371,0.9070981273908072,1.0
99.0,13.0,3.0,13.0,0.05,0.0,5.0,257.0,248.0,505.0,0.7413848321094056,0.752681018035563,0.7470329250724843,1.0
100.0,13.0,4.0,13.0,0.05,1.0,5.0,53.0,59.0,112.0,0.8456661335351289,0.8404636936232707,0.8430649135791998,1.0
101.0,13.0,5.0,13.0,0.1,0.0,5.0,236.0,268.0,504.0,0.6706474438126551,0.6697175715128876,0.6701825076627713,1.0
102.0,13.0,6.0,13.0,0.1,1.0,5.0,61.0,53.0,114.0,0.7510397737071748,0.759420050254671,0.7552299119809229,1.0
103.0,13.0,7.0,13.0,0.02,0.0,10.0,254.0,250.0,504.0,0.7223293784222189,0.7198541704788625,0.7210917744505407,1.0
104.0,13.0,8.0,13.0,0.02,0.0,20.0,246.0,259.0,505.0,0.6439424021705759,0.6509757763341106,0.6474590892523433,1.0
105.0,14.0,1.0,14.0,0.02,0.0,5.0,230.0,237.0,467.0,0.7816733193922657,0.7818014885252618,0.7817374039587637,1.0
106.0,14.0,2.0,14.0,0.02,1.0,5.0,72.0,66.0,138.0,0.8990820484122006,0.8986926041305325,0.8988873262713666,1.0
107.0,14.0,3.0,14.0,0.05,0.0,5.0,242.0,225.0,467.0,0.7418072014738314,0.7208188377927135,0.7313130196332724,1.0
108.0,14.0,4.0,14.0,0.05,1.0,5.0,68.0,59.0,127.0,0.8437347796720698,0.8375229342049398,0.8406288569385048,1.0
109.0,14.0,5.0,14.0,0.1,0.0,5.0,240.0,227.0,467.0,0.6636664185028408,0.6595031538174297,0.6615847861601353,1.0
110.0,14.0,6.0,14.0,0.1,1.0,5.0,46.0,54.0,100.0,0.7508561039842524,0.75394437415636,0.7524002390703062,1.0
111.0,14.0,7.0,14.0,0.02,0.0,10.0,239.0,228.0,467.0,0.7112043901573762,0.7039154563855166,0.7075599232714465,1.0
112.0,14.0,8.0,14.0,0.02,0.0,20.0,233.0,234.0,467.0,0.6569214348985979,0.6344631473370537,0.6456922911178258,1.0
113.0,15.0,1.0,15.0,0.02,0.0,5.0,238.0,240.0,478.0,0.7764761154446449,0.7779353801744363,0.7772057478095407,1.0
114.0,15.0,2.0,15.0,0.02,1.0,5.0,47.0,50.0,97.0,0.8965399491361097,0.9077064874927474,0.9021232183144285,1.0
115.0,15.0,3.0,15.0,0.05,0.0,5.0,236.0,242.0,478.0,0.7304307939208525,0.7268162908790863,0.7286235423999694,1.0
